company,month,market_condition,budget,marketing_spend,rnd_spend,pricing_strategy,product_quality,customer_base,action_taken,action_intensity,revenue,profit_margin,market_share,innovation_score
BetaTech,13,stagnation,573679,97917,298634,0.94,8.49,21265,invest_rnd,2,704959,0.08,0.1405,2.73
DeltaHealth,12,recession,767886,188248,112792,0.87,9.4,7544,price_cut,9,1754202,0.38,0.7703,7.61
BetaTech,19,growth,522055,110501,197171,1.19,2.5,5241,marketing_blitz,6,1327772,0.12,0.5429,1.85
BetaTech,9,stagnation,294444,194262,148550,0.82,5.59,73707,price_cut,9,749308,0.1,0.6686,9.97
BetaTech,10,growth,335191,76471,57905,0.91,3.59,31044,invest_rnd,10,357057,0.31,0.9129,5.88
AlphaCorp,17,growth,176160,123343,24041,0.86,5.95,81122,price_cut,9,1345042,0.3,0.1989,3.13
DeltaHealth,18,growth,835616,106718,141449,0.99,7.32,50586,price_cut,7,1764779,0.36,0.5049,4.55
GammaRetail,8,recession,643271,16878,176639,1.02,9.86,68987,launch_product,6,1282484,0.31,0.8173,6.95
GammaRetail,7,stagnation,713636,59804,256273,0.88,4.14,1450,expand_market,9,716265,0.14,0.4377,1.46
DeltaHealth,9,growth,782506,181099,218774,1.06,3.29,6351,marketing_blitz,7,598219,0.18,0.9087,9.83
BetaTech,10,stagnation,958952,95556,226497,1.02,7.01,77344,marketing_blitz,1,320365,0.31,0.6935,5.07
GammaRetail,12,stagnation,177136,128494,105020,1.14,8.59,6851,launch_product,4,679866,0.24,0.2582,2.61
GammaRetail,15,growth,849169,115410,275589,1.16,1.25,71511,marketing_blitz,6,729822,0.06,0.6346,7.8
DeltaHealth,15,recession,945091,197573,282228,1.08,1.39,51968,invest_rnd,7,395942,0.36,0.3038,2.41
GammaRetail,4,growth,840889,71936,99732,1.05,6.23,61991,expand_market,4,1746184,0.38,0.4998,9.03
BetaTech,4,growth,235594,157448,226347,1.04,2.17,26470,price_cut,10,806382,0.13,0.2901,1.37
DeltaHealth,23,stagnation,716511,95551,144236,0.87,6.66,31081,marketing_blitz,7,359311,0.12,0.912,9.89
BetaTech,1,recession,519174,174949,41169,1.15,6.09,77709,launch_product,4,333940,0.24,0.8029,4.89
GammaRetail,12,stagnation,191987,69645,208256,0.94,8.21,76781,marketing_blitz,5,260224,0.36,0.7337,1.53
GammaRetail,2,recession,249247,83285,177380,1.08,8.18,92951,price_cut,7,249509,0.24,0.703,9.27
BetaTech,15,growth,730966,177508,124319,0.98,8.49,9791,invest_rnd,9,547267,0.1,0.0106,4.93
AlphaCorp,17,recession,180646,64235,236604,1.16,9.41,82635,marketing_blitz,10,1467617,0.08,0.3939,3.76
GammaRetail,7,stagnation,942423,106647,224674,0.96,6.31,15416,expand_market,5,1244629,0.12,0.8142,7.98
AlphaCorp,6,growth,325842,5041,10576,1.02,2.3,62467,expand_market,5,1834002,0.27,0.9429,6.07
GammaRetail,12,recession,231154,10176,232272,0.87,9.23,49994,launch_product,10,249726,0.28,0.447,6.89
AlphaCorp,19,recession,981185,51276,211478,1.02,9.97,75177,expand_market,9,374588,0.06,0.0799,2.7
AlphaCorp,1,stagnation,899443,41764,257699,0.88,1.35,19686,price_cut,5,568347,0.38,0.3635,9.42
AlphaCorp,21,recession,718410,81064,19600,1.12,6.42,24462,marketing_blitz,9,1392839,0.11,0.5876,8.4
BetaTech,14,growth,929203,112469,61742,0.95,4.37,49852,marketing_blitz,7,427586,0.06,0.3319,7.09
AlphaCorp,4,recession,490398,129454,63936,0.97,3.73,12944,launch_product,6,1630131,0.26,0.799,7.63
AlphaCorp,5,stagnation,297581,31029,31013,1.06,7.92,26331,price_cut,1,1191288,0.35,0.8667,9.35
AlphaCorp,1,recession,514654,70180,245959,0.83,3.71,72042,price_cut,2,1742514,0.37,0.0391,4.83
GammaRetail,1,growth,423980,29646,67583,0.93,2.35,50656,expand_market,3,1124193,0.09,0.6584,6.98
AlphaCorp,21,growth,924179,199634,279477,1.17,3.18,43566,launch_product,2,147676,0.39,0.5403,8.65
GammaRetail,6,recession,201265,33201,140935,1.14,5.84,47848,expand_market,5,420422,0.15,0.0202,9.3
AlphaCorp,5,recession,407974,197628,71395,0.89,3.29,91032,invest_rnd,4,688228,0.08,0.7751,9.57
AlphaCorp,2,growth,916274,147626,208155,1.01,4.15,36053,price_cut,8,1799365,0.16,0.3236,6.91
BetaTech,21,stagnation,825579,180026,69055,1.03,6.17,12554,marketing_blitz,5,1427512,0.25,0.7512,6.14
GammaRetail,5,growth,934190,189443,102500,0.92,7.23,46090,price_cut,7,1174938,0.39,0.0758,8.92
AlphaCorp,9,recession,458233,77225,60076,0.94,1.63,72600,launch_product,1,168880,0.24,0.0412,3.88
GammaRetail,19,recession,780208,46707,106584,1.19,4.7,69797,marketing_blitz,3,1135548,0.29,0.3253,9.33
GammaRetail,21,stagnation,993761,63272,58437,0.86,7.43,34984,launch_product,6,523783,0.06,0.2389,1.9
DeltaHealth,15,growth,445140,166293,52741,1.16,3.95,65897,price_cut,6,1418538,0.18,0.4431,3.57
BetaTech,13,growth,445656,126162,265735,0.94,7.82,55017,price_cut,5,1879522,0.28,0.2675,9.24
BetaTech,12,stagnation,242979,142735,240100,0.9,4.08,56610,marketing_blitz,10,1455194,0.29,0.8826,9.03
BetaTech,5,growth,532149,130628,63839,0.9,7.83,37905,expand_market,7,1873352,0.24,0.8037,2.59
DeltaHealth,2,stagnation,872642,22640,39898,0.91,9.6,71370,expand_market,6,784944,0.2,0.1459,7.59
DeltaHealth,4,growth,114904,11321,243883,0.91,5.54,73863,invest_rnd,8,93128,0.39,0.3196,5.16
BetaTech,18,stagnation,867169,154917,50942,0.9,5.34,40567,expand_market,3,1066966,0.35,0.2659,6.38
DeltaHealth,21,stagnation,657415,93524,181309,1.14,5.36,93524,launch_product,1,1430398,0.08,0.1818,9.47
DeltaHealth,10,stagnation,370654,120523,224578,0.91,9.57,22808,marketing_blitz,5,1361446,0.22,0.5798,7.97
DeltaHealth,13,recession,907550,193911,31605,1.14,2.43,53916,expand_market,10,227793,0.1,0.0286,4.53
BetaTech,12,recession,901450,23370,159390,1.19,7.66,14305,price_cut,9,97076,0.21,0.2904,2.66
BetaTech,2,recession,571549,163147,27159,0.91,7.21,96553,invest_rnd,7,680631,0.28,0.92,9.59
BetaTech,15,growth,680845,165775,212391,1.03,6.69,30732,expand_market,4,69264,0.14,0.353,5.66
DeltaHealth,14,stagnation,189426,9426,107213,0.98,7.65,26012,price_cut,7,1362144,0.27,0.0922,3.64
BetaTech,10,growth,644471,115722,93777,1.14,3.87,43418,invest_rnd,8,201033,0.19,0.6782,4.42
DeltaHealth,22,growth,958522,30310,173929,0.92,9.35,53811,price_cut,3,974421,0.06,0.9477,1.62
AlphaCorp,8,stagnation,885451,140602,290085,1.11,9.17,21183,launch_product,7,1813238,0.17,0.9447,6.25
DeltaHealth,15,recession,878475,111523,103723,0.99,3.07,23657,expand_market,2,196813,0.06,0.6418,4.07
GammaRetail,13,growth,849971,168365,218253,1.05,5.63,65833,expand_market,9,1039845,0.27,0.1255,4.91
BetaTech,8,growth,951358,27078,216255,1.03,3.82,57590,invest_rnd,2,912301,0.36,0.5035,8.58
BetaTech,21,growth,748935,138050,34211,0.82,8.12,45265,launch_product,7,1172147,0.16,0.6351,9.73
GammaRetail,21,recession,454201,196842,50805,1.04,9.1,19917,price_cut,4,325374,0.4,0.966,1.43
DeltaHealth,22,stagnation,850851,90727,208834,1.13,5.81,16474,expand_market,6,462426,0.08,0.812,9.06
AlphaCorp,14,stagnation,142152,192540,268058,0.92,3.89,98964,launch_product,2,1345744,0.12,0.6387,1.27
GammaRetail,1,growth,913272,143947,151237,0.96,6.81,81724,marketing_blitz,6,1656304,0.14,0.3055,4.63
GammaRetail,13,stagnation,288005,77218,135346,0.88,2.28,22958,invest_rnd,5,177386,0.19,0.2486,5.29
DeltaHealth,8,recession,402784,83625,70585,0.88,5.58,28899,price_cut,8,1319286,0.36,0.3862,7.9
BetaTech,18,stagnation,680888,136919,170849,0.92,7.83,59322,marketing_blitz,3,647741,0.22,0.2557,9.42
DeltaHealth,22,growth,359784,11532,242286,1.1,3.37,7743,invest_rnd,2,1260854,0.23,0.098,9.69
GammaRetail,9,growth,226509,177334,68358,0.99,4.53,33178,marketing_blitz,4,561023,0.19,0.7024,2.07
GammaRetail,13,stagnation,221100,10316,36013,1.08,6.89,98648,marketing_blitz,3,1686156,0.38,0.7676,9.17
BetaTech,3,growth,731174,170174,55040,1.17,9.64,10979,launch_product,2,1589216,0.12,0.7427,4.11
BetaTech,18,recession,78552,155923,289978,1.09,1.71,66362,expand_market,7,446051,0.1,0.2473,8.77
BetaTech,10,recession,147975,10791,199191,0.95,2.4,50412,price_cut,9,1237302,0.37,0.4057,7.22
DeltaHealth,5,recession,125992,66774,142824,1.0,2.15,12224,expand_market,1,1265584,0.32,0.3226,4.37
BetaTech,6,recession,171320,144877,257682,0.91,2.99,81130,launch_product,1,1614489,0.24,0.1577,8.05
GammaRetail,8,growth,402406,16072,250664,0.83,1.55,44609,expand_market,4,486966,0.1,0.658,2.67
GammaRetail,24,growth,614012,76931,107751,1.07,4.26,54386,invest_rnd,6,1774741,0.22,0.2487,5.06
AlphaCorp,7,stagnation,622864,152124,154595,1.06,3.53,55026,launch_product,8,589451,0.28,0.1018,4.11
DeltaHealth,21,growth,554229,5631,29446,1.14,2.78,46574,invest_rnd,10,1514445,0.07,0.9368,9.25
AlphaCorp,18,stagnation,996821,85082,83995,0.86,3.32,21334,launch_product,9,1495218,0.27,0.9888,7.16
GammaRetail,14,growth,60159,15939,141207,1.15,6.79,53547,invest_rnd,3,1440362,0.11,0.1734,9.8
AlphaCorp,15,stagnation,140027,7474,176869,1.12,7.2,92410,invest_rnd,4,784916,0.28,0.1934,5.93
GammaRetail,10,stagnation,508958,127485,168216,0.84,9.36,74505,price_cut,9,1233056,0.27,0.0618,7.91
AlphaCorp,21,recession,730769,103765,154432,1.19,2.89,83569,marketing_blitz,3,986185,0.11,0.3045,4.99
BetaTech,12,stagnation,559404,102869,201311,0.82,1.91,62894,launch_product,5,1266342,0.24,0.8473,6.89
AlphaCorp,7,stagnation,433539,94729,130732,1.12,1.53,49802,price_cut,8,1791583,0.28,0.3281,7.8
BetaTech,7,stagnation,70705,167948,23252,0.97,5.44,95495,price_cut,3,1364826,0.3,0.5988,8.43
BetaTech,11,stagnation,819629,64784,105369,1.15,6.81,46821,marketing_blitz,6,267725,0.36,0.1289,4.01
DeltaHealth,13,stagnation,829043,34232,45774,1.09,3.16,76022,invest_rnd,4,1013816,0.32,0.338,9.89
BetaTech,15,recession,522866,11226,156178,0.82,6.99,45555,marketing_blitz,1,1241814,0.24,0.6839,1.53
BetaTech,18,stagnation,633489,55492,159320,0.9,2.69,22694,launch_product,1,602240,0.25,0.7314,2.03
AlphaCorp,7,stagnation,761345,93897,26573,1.18,3.0,67539,price_cut,8,733827,0.22,0.7642,2.54
GammaRetail,6,stagnation,377042,167760,48635,0.86,6.98,57140,invest_rnd,4,643130,0.19,0.4799,5.41
DeltaHealth,23,growth,924601,50962,159577,0.83,9.59,24850,launch_product,10,1998164,0.2,0.7,2.4
BetaTech,11,growth,528283,6909,253628,0.86,9.13,87727,launch_product,8,1545205,0.18,0.8116,3.77
DeltaHealth,8,recession,821894,23362,46481,1.09,1.24,76494,marketing_blitz,1,1289649,0.23,0.1772,6.02
AlphaCorp,20,stagnation,933635,7629,174216,0.82,9.83,57148,invest_rnd,4,769773,0.14,0.8677,3.9
BetaTech,1,stagnation,259082,148854,93622,0.97,4.28,91294,launch_product,10,126676,0.16,0.1232,8.37
AlphaCorp,8,growth,353046,57852,52098,0.84,5.99,25266,marketing_blitz,5,651956,0.11,0.207,3.08
DeltaHealth,8,stagnation,490851,198683,56866,1.07,4.11,25863,launch_product,6,1143064,0.09,0.0528,8.69
AlphaCorp,19,recession,171106,110315,230944,0.9,8.42,83697,launch_product,4,1980050,0.32,0.2494,5.46
DeltaHealth,3,stagnation,709079,74134,48622,1.07,7.05,26506,launch_product,4,1236586,0.27,0.7192,6.49
AlphaCorp,5,recession,160530,32633,206609,0.87,8.89,89438,invest_rnd,8,208319,0.37,0.6494,1.46
DeltaHealth,3,growth,437610,94391,142607,0.96,2.91,51143,invest_rnd,3,1134175,0.11,0.7298,3.93
GammaRetail,15,recession,269086,22922,276328,1.17,6.76,12907,invest_rnd,4,1969932,0.1,0.7776,2.73
AlphaCorp,14,recession,882135,12432,276260,0.95,5.78,72289,invest_rnd,4,470184,0.39,0.6805,6.87
AlphaCorp,21,recession,68449,182897,160700,0.85,6.3,90562,invest_rnd,9,1724152,0.28,0.1959,8.02
GammaRetail,15,recession,136300,27560,171881,0.95,4.29,57819,expand_market,2,139702,0.15,0.4944,2.5
GammaRetail,24,recession,98429,104563,291170,0.98,1.06,73486,price_cut,6,1679912,0.2,0.5582,6.51
AlphaCorp,17,recession,180546,105794,69361,0.98,7.34,17554,expand_market,10,411298,0.15,0.1795,2.14
GammaRetail,18,recession,749299,21537,235960,1.08,7.43,73721,launch_product,2,1384776,0.05,0.01,6.81
BetaTech,2,recession,701138,29343,24652,0.85,8.83,90119,price_cut,3,1178985,0.3,0.3449,2.18
DeltaHealth,12,recession,63301,148197,204754,0.98,9.66,49836,price_cut,10,1156262,0.32,0.3378,8.48
DeltaHealth,16,growth,405208,198265,25684,0.9,2.79,59357,launch_product,3,1868913,0.27,0.9849,7.1
DeltaHealth,4,recession,234969,197032,73129,0.98,1.61,12931,launch_product,5,1112655,0.38,0.0135,7.99
BetaTech,2,recession,948791,53408,289000,0.87,8.06,8462,price_cut,2,1306759,0.05,0.763,3.39
GammaRetail,14,stagnation,900771,122009,187797,0.89,8.91,55092,price_cut,6,1482838,0.35,0.5183,8.16
GammaRetail,11,stagnation,623377,158158,293075,1.02,2.54,83645,launch_product,2,43846,0.16,0.4479,8.54
AlphaCorp,13,stagnation,861001,163256,133202,0.92,1.98,43138,marketing_blitz,9,107673,0.25,0.4704,1.48
GammaRetail,7,recession,187472,187557,122504,0.86,8.64,43248,launch_product,5,1375246,0.28,0.9242,4.62
AlphaCorp,10,growth,682026,141649,249973,1.05,9.8,11714,invest_rnd,7,1080655,0.05,0.4997,8.78
BetaTech,24,growth,388563,32085,38543,1.13,4.67,29466,marketing_blitz,8,249152,0.39,0.322,4.44
DeltaHealth,1,stagnation,600831,101918,124185,1.13,9.14,64440,expand_market,10,495423,0.22,0.3323,9.28
DeltaHealth,21,stagnation,855220,113933,100620,1.13,7.94,71283,invest_rnd,7,1228385,0.34,0.0407,1.9
DeltaHealth,4,recession,164943,67307,178950,0.81,3.61,21235,invest_rnd,8,694045,0.36,0.1435,6.29
GammaRetail,18,growth,667055,98266,34829,1.07,2.41,21066,expand_market,7,1754285,0.34,0.4911,3.57
AlphaCorp,6,growth,931937,151030,14428,1.2,2.75,50783,marketing_blitz,1,1876175,0.1,0.9775,4.35
AlphaCorp,2,stagnation,993916,52348,47484,1.09,5.74,3523,price_cut,7,512331,0.33,0.3113,6.04
BetaTech,3,growth,908108,64636,97792,0.91,4.58,64130,expand_market,9,1997823,0.29,0.6933,1.75
GammaRetail,14,stagnation,990046,64738,261225,1.03,9.63,11026,launch_product,3,1484065,0.11,0.3989,4.38
BetaTech,8,stagnation,803842,179610,243974,0.99,4.74,26913,price_cut,9,1039129,0.27,0.3371,1.79
AlphaCorp,16,recession,106764,41701,31812,0.98,1.87,24783,invest_rnd,10,523851,0.16,0.5588,3.23
AlphaCorp,19,stagnation,500307,171197,153697,1.09,2.08,38381,launch_product,9,1536014,0.24,0.9067,6.96
DeltaHealth,18,recession,170210,84917,148702,0.85,9.15,62406,marketing_blitz,6,1615826,0.28,0.3535,2.1
GammaRetail,6,growth,627623,166922,210793,0.85,5.66,4828,launch_product,3,291347,0.09,0.278,5.77
AlphaCorp,14,growth,940973,28004,163018,1.0,9.51,63592,marketing_blitz,6,732849,0.27,0.8146,7.63
DeltaHealth,3,stagnation,192730,9963,238965,1.19,9.55,91410,invest_rnd,8,1411799,0.12,0.8127,7.41
GammaRetail,16,stagnation,934763,40131,178542,0.82,9.67,62460,invest_rnd,7,1527031,0.34,0.1163,1.63
BetaTech,1,recession,490305,67699,227159,0.95,9.29,86707,marketing_blitz,1,737348,0.18,0.9363,5.32
GammaRetail,12,recession,142856,127517,23434,1.0,8.99,22003,price_cut,3,431927,0.08,0.9642,4.68
GammaRetail,14,growth,719770,73477,103306,0.8,6.59,89439,marketing_blitz,9,1473169,0.34,0.2445,2.03
AlphaCorp,19,growth,549765,89328,256703,0.92,9.57,76949,price_cut,2,1334094,0.26,0.2199,8.75
AlphaCorp,22,stagnation,353424,71592,7474,0.84,8.16,33725,launch_product,2,218417,0.29,0.9853,8.64
GammaRetail,19,stagnation,938366,4693,132318,1.08,7.13,1178,price_cut,2,1188308,0.31,0.7515,8.72
AlphaCorp,9,recession,663111,94462,92556,0.98,9.05,44855,marketing_blitz,1,1086917,0.25,0.7675,1.07
AlphaCorp,7,stagnation,77881,67308,17117,1.05,8.28,58803,expand_market,4,1208839,0.19,0.1201,3.15
AlphaCorp,14,recession,499141,132795,130756,1.04,4.43,92052,price_cut,5,1079239,0.3,0.488,3.9
DeltaHealth,5,growth,932435,149674,293831,0.94,3.52,26485,price_cut,4,1727695,0.39,0.6772,1.21
DeltaHealth,18,growth,391221,161374,259093,0.81,2.36,52457,marketing_blitz,5,1930332,0.22,0.9843,9.71
GammaRetail,9,stagnation,252529,116393,100528,0.91,9.56,54404,expand_market,7,482018,0.19,0.984,1.23
AlphaCorp,21,recession,443547,145426,22347,0.99,1.77,87844,invest_rnd,9,1719833,0.31,0.2846,1.43
DeltaHealth,7,stagnation,150021,161723,111200,0.88,7.93,81981,launch_product,7,1849261,0.21,0.8675,4.13
GammaRetail,9,stagnation,962855,103841,56614,1.18,4.48,54188,marketing_blitz,2,1470876,0.36,0.1894,4.32
AlphaCorp,4,recession,214156,47375,16385,0.97,5.2,69523,launch_product,2,311711,0.33,0.0581,9.29
BetaTech,17,stagnation,138164,116298,270530,0.94,2.09,23065,expand_market,5,889377,0.35,0.7063,4.78
AlphaCorp,12,recession,261191,64924,208487,0.84,2.07,59678,invest_rnd,4,1649385,0.38,0.709,4.47
AlphaCorp,6,recession,381231,99234,138569,0.91,4.16,57787,price_cut,8,556667,0.25,0.5053,1.32
DeltaHealth,18,stagnation,744226,141995,204411,1.03,7.42,35680,invest_rnd,3,864852,0.33,0.0571,1.61
GammaRetail,8,recession,110252,178827,147897,1.13,3.41,25032,price_cut,3,913912,0.22,0.3361,4.31
GammaRetail,21,growth,937653,92013,202133,1.11,7.27,84524,price_cut,4,1612199,0.26,0.9041,9.61
DeltaHealth,15,growth,57792,113013,12566,1.07,9.97,72613,price_cut,3,1107873,0.33,0.33,2.86
AlphaCorp,3,growth,472108,96728,223569,1.17,4.82,85742,expand_market,1,1641968,0.06,0.1287,8.37
BetaTech,2,growth,207010,74572,195983,0.9,9.42,94892,launch_product,1,21368,0.24,0.6031,3.79
AlphaCorp,24,stagnation,812003,145160,170561,0.89,1.71,15546,invest_rnd,9,816950,0.27,0.9195,6.54
AlphaCorp,23,growth,130884,123219,285311,0.82,3.82,6832,marketing_blitz,3,587143,0.22,0.9985,7.37
BetaTech,9,growth,794743,106618,231743,1.08,6.39,41912,price_cut,5,1341059,0.16,0.4244,1.58
DeltaHealth,8,growth,909542,58514,214805,1.12,2.93,88718,expand_market,10,1661705,0.31,0.9615,7.34
GammaRetail,4,growth,675220,62749,283611,0.9,4.36,71024,marketing_blitz,7,761843,0.39,0.1638,6.79
DeltaHealth,2,stagnation,595245,172720,190385,1.12,5.06,85275,price_cut,2,1047895,0.2,0.0813,6.62
DeltaHealth,14,growth,326255,24506,278676,1.08,7.07,61879,expand_market,1,739633,0.26,0.1197,5.26
AlphaCorp,2,recession,212839,3399,275369,1.02,2.96,72506,invest_rnd,7,1744010,0.2,0.96,4.38
GammaRetail,2,recession,926400,164163,180972,1.02,4.17,44630,launch_product,9,886439,0.11,0.9765,4.91
GammaRetail,22,stagnation,520962,18758,243765,1.08,9.59,15029,launch_product,6,1236479,0.09,0.0137,2.77
DeltaHealth,7,stagnation,360130,117284,286972,1.2,3.4,89547,price_cut,8,736096,0.24,0.4809,7.32
BetaTech,12,stagnation,575497,190411,110270,0.93,7.62,94099,price_cut,1,1703459,0.27,0.562,3.41
DeltaHealth,6,growth,852985,32913,58204,0.83,8.84,30560,invest_rnd,3,837594,0.38,0.9304,7.03
BetaTech,18,stagnation,965234,100049,245121,1.08,7.04,29610,marketing_blitz,7,1589352,0.24,0.3507,8.83
GammaRetail,4,growth,289135,60153,52288,0.81,8.1,24705,marketing_blitz,4,1980277,0.21,0.7266,9.45
DeltaHealth,19,stagnation,999240,110816,156511,1.16,9.86,84054,invest_rnd,6,1923403,0.13,0.2757,6.24
AlphaCorp,13,recession,136316,92605,133959,1.19,3.99,22258,marketing_blitz,5,256779,0.07,0.9781,9.53
DeltaHealth,20,recession,65023,163863,53736,1.09,3.32,81554,invest_rnd,6,1415469,0.21,0.5389,1.77
GammaRetail,21,growth,856251,86342,206860,0.94,5.05,46851,launch_product,7,796226,0.18,0.4355,8.77
AlphaCorp,23,stagnation,510629,167995,139104,0.89,6.74,85519,price_cut,10,463491,0.06,0.616,3.35
AlphaCorp,2,recession,987940,52875,149400,0.84,1.96,68306,marketing_blitz,4,614783,0.24,0.2221,1.75
BetaTech,8,growth,806699,115262,233841,0.8,1.47,16734,price_cut,4,1688720,0.27,0.3954,6.63
AlphaCorp,19,recession,774144,158648,188981,0.97,2.24,67570,expand_market,5,1372778,0.31,0.6882,5.37
AlphaCorp,9,stagnation,889457,54420,60456,1.06,2.5,48883,invest_rnd,6,247508,0.21,0.4302,3.48
DeltaHealth,4,growth,912351,72561,95948,0.95,1.35,22929,marketing_blitz,4,1484814,0.37,0.4026,8.02
GammaRetail,16,recession,451930,125808,123542,0.98,6.33,28979,invest_rnd,2,1283439,0.29,0.7488,9.65
BetaTech,19,stagnation,348464,5240,27464,1.07,6.22,78856,expand_market,2,1812757,0.4,0.9015,2.73
DeltaHealth,10,growth,606523,112353,110150,0.96,5.31,39164,invest_rnd,10,1398562,0.34,0.9435,2.76
AlphaCorp,6,recession,661813,119210,90047,1.11,2.18,71685,invest_rnd,5,207921,0.27,0.7055,2.08
AlphaCorp,16,recession,511458,146952,163378,1.06,9.52,36401,invest_rnd,1,547238,0.19,0.4381,9.88
BetaTech,10,growth,524971,159016,164313,1.07,7.35,56808,expand_market,8,723854,0.4,0.381,4.88
GammaRetail,13,stagnation,606956,93865,10313,1.05,1.91,90414,marketing_blitz,2,1924931,0.13,0.3389,4.02
BetaTech,9,growth,380212,187493,45400,0.85,6.19,93722,expand_market,10,1815832,0.23,0.2525,6.09
DeltaHealth,7,recession,99973,164784,251987,1.07,1.36,38216,price_cut,2,1313203,0.2,0.0984,8.08
BetaTech,4,recession,741636,92776,146608,1.04,4.64,66728,expand_market,6,1352926,0.37,0.6737,6.66
AlphaCorp,19,recession,230418,156089,162745,1.03,8.27,84678,price_cut,7,25136,0.21,0.7116,5.72
DeltaHealth,4,stagnation,66849,61544,143397,1.04,5.78,48151,price_cut,9,1287323,0.31,0.3586,7.84
AlphaCorp,19,recession,438171,75410,137221,1.19,1.86,57736,expand_market,9,1825450,0.27,0.6918,9.12
GammaRetail,19,recession,631585,128992,123700,0.97,8.62,17130,launch_product,10,1887386,0.26,0.8869,6.64
AlphaCorp,12,growth,98287,29484,61301,0.84,1.67,89769,expand_market,5,910009,0.06,0.5842,4.98
AlphaCorp,13,recession,707897,149965,29888,1.01,5.38,60495,marketing_blitz,2,56652,0.32,0.9651,5.06
BetaTech,4,growth,738227,41703,44811,0.86,5.62,18111,invest_rnd,7,1059663,0.26,0.2657,1.66
AlphaCorp,10,recession,582595,167103,153076,1.12,7.96,99135,price_cut,9,1576443,0.3,0.2641,4.19
DeltaHealth,21,growth,79051,171726,153049,0.9,9.87,32432,launch_product,10,177780,0.14,0.6597,4.05
DeltaHealth,7,growth,235938,134356,294616,1.2,4.59,66163,launch_product,1,156353,0.15,0.6537,8.46
GammaRetail,5,growth,994951,44103,58691,0.87,6.77,58626,invest_rnd,1,1186581,0.36,0.5447,8.71
DeltaHealth,17,growth,453518,82078,85352,0.95,5.68,32556,marketing_blitz,9,791292,0.24,0.1839,4.99
BetaTech,18,stagnation,383955,151415,169451,0.86,1.72,30346,launch_product,2,540842,0.4,0.9486,6.74
GammaRetail,11,recession,944199,125536,35314,0.97,8.18,23169,launch_product,3,1496829,0.08,0.6013,2.18
DeltaHealth,15,stagnation,785626,37034,280288,0.99,5.7,30129,price_cut,2,470322,0.27,0.8162,5.09
BetaTech,21,recession,280810,92385,62970,1.1,6.46,96027,invest_rnd,5,1473209,0.38,0.7706,8.62
DeltaHealth,22,growth,117438,53670,277303,0.8,4.05,77802,marketing_blitz,1,906455,0.12,0.0324,2.01
DeltaHealth,7,recession,610079,7215,47386,0.89,9.23,28084,launch_product,10,1324436,0.24,0.8017,5.33
AlphaCorp,18,growth,588027,19399,228262,0.91,7.19,39869,invest_rnd,8,655956,0.08,0.2558,2.19
DeltaHealth,6,recession,958177,173949,176726,1.04,4.21,78460,expand_market,8,502168,0.33,0.9109,5.02
DeltaHealth,18,growth,286189,10143,98115,0.91,5.47,81545,expand_market,1,878269,0.11,0.9768,1.61
BetaTech,16,recession,536103,64539,212254,0.99,3.75,42013,marketing_blitz,3,1961054,0.13,0.5998,4.29
BetaTech,2,recession,393365,25047,18799,1.0,6.75,60161,marketing_blitz,9,975074,0.23,0.4383,9.78
AlphaCorp,19,recession,760574,193831,117666,1.12,8.28,69105,invest_rnd,5,1963802,0.27,0.9979,7.44
DeltaHealth,1,growth,134513,189716,17928,1.15,4.09,12627,price_cut,6,246651,0.36,0.0794,8.99
AlphaCorp,11,recession,351430,189610,178205,1.19,8.37,2171,marketing_blitz,6,491615,0.14,0.499,8.94
DeltaHealth,20,growth,349851,49354,88847,1.14,9.34,23198,price_cut,8,1748410,0.06,0.2141,9.03
GammaRetail,5,stagnation,414841,8564,178380,1.15,4.56,87008,expand_market,8,228149,0.16,0.9804,3.68
GammaRetail,16,recession,770150,105656,90627,1.19,3.08,72632,price_cut,4,1104077,0.38,0.8401,3.46
AlphaCorp,23,growth,843571,145205,8360,1.13,9.49,47935,marketing_blitz,5,563785,0.28,0.8147,4.4
AlphaCorp,1,growth,472183,196357,50631,0.88,1.49,21448,launch_product,5,500818,0.21,0.8573,2.91
AlphaCorp,19,growth,438622,4044,155331,1.12,5.35,11575,launch_product,2,580205,0.14,0.9349,4.67
BetaTech,14,stagnation,865218,97508,137649,1.08,8.01,28694,expand_market,10,852277,0.27,0.9411,5.62
BetaTech,3,growth,307999,139159,246460,1.02,1.41,44236,price_cut,9,170121,0.21,0.4196,4.52
BetaTech,2,stagnation,64828,166128,260948,0.87,6.76,82584,price_cut,9,1999583,0.1,0.31,5.01
AlphaCorp,24,stagnation,581512,151703,42065,0.82,8.55,34633,expand_market,8,357829,0.15,0.6882,9.12
DeltaHealth,5,growth,495294,103583,233338,0.89,3.68,48722,price_cut,1,200568,0.21,0.453,1.53
GammaRetail,17,recession,618461,21357,105728,1.15,3.79,56869,marketing_blitz,1,612024,0.35,0.2238,8.32
AlphaCorp,18,stagnation,351774,159912,215393,0.91,1.3,81007,invest_rnd,3,1450521,0.14,0.7245,8.97
BetaTech,1,growth,867803,48960,157599,0.98,5.96,5236,price_cut,4,719453,0.23,0.6085,1.49
BetaTech,15,stagnation,388538,1999,82341,1.2,1.55,42004,launch_product,10,1541662,0.32,0.2413,3.03
